"type","id","name","lon","lat"
"BS","BS_1","BS_1",12.491326,41.888786
"BS","BS_10","BS_10",12.491592,41.891171
"BS","BS_11","BS_11",12.487107,41.892269
"BS","BS_2","BS_2",12.494306,41.887708
"BS","BS_3","BS_3",12.495437,41.888253
"BS","BS_4","BS_4",12.494447,41.889455
"BS","BS_5","BS_5",12.490344,41.890657
"BS","BS_6","BS_6",12.492924,41.888885
"BS","BS_7","BS_7",12.493348,41.887206
"BS","BS_8","BS_8",12.488155,41.889368
"BS","BS_9","BS_9",12.493856,41.891567
"POI","POI_1","Colosseo_Monument",12.4923,41.8902
"POI","POI_10","Celio_Vibenna_SW",12.4909,41.8894
"POI","POI_11","Fori_NW_Corridor",12.4886,41.8919
"POI","POI_2","Colosseo_Metro",12.4922,41.89
"POI","POI_3","Fori_Imperiali_Access",12.4908,41.892
"POI","POI_4","Arco_di_Costantino",12.4915,41.8897
"POI","POI_5","Via_Labicana_East",12.4949,41.8891
"POI","POI_6","Ludus_Magnus_NE",12.494,41.8911
"POI","POI_7","Parco_Oppio_North",12.4937,41.8921
"POI","POI_8","Basilica_Massenzio_West",12.4894,41.8909
"POI","POI_9","Via_San_Gregorio_South",12.4925,41.8889
