"period_label","period_hour","serving_bs_id","mean_users_present","max_users_present","min_users_present","mean_covered_users","mean_uncovered_users","mean_dist_to_serving_bs_m"
"peak",16,"BS_6",13.7211111111111,17,11,13.7211111111111,0,45.2117713657744
"peak",16,"BS_1",12.5611111111111,14,10,12.5611111111111,0,55.2487645467044
"peak",16,"BS_11",12,12,12,12,0,53.8973477647921
"peak",16,"BS_4",10.8,13,9,10.8,0,54.675998625053
"peak",16,"BS_10",10.3133333333333,11,9,10.3133333333333,0,64.2630875622522
"peak",16,"BS_5",9.63444444444444,11,9,9.63444444444444,0,58.664434296871
"peak",16,"BS_2",9.02222222222222,11,7,9.02222222222222,0,50.0572266911508
"peak",16,"BS_9",6.49555555555556,7,6,6.49555555555556,0,72.9824087749992
"peak",16,"BS_7",5.84333333333333,7,4,5.84333333333333,0,44.7334471274777
"peak",16,"BS_3",5.08333333333333,6,4,5.08333333333333,0,58.2237884881819
"peak",16,"BS_8",4.52555555555556,5,4,4.52555555555556,0,67.7902435749226
